out,row_names
13,GBAA4716
13,GBAA4821
13,GBAA4850
13,GBAA4851
13,GBAA5623
14,GBAA0026
14,GBAA0051
14,GBAA0052
14,GBAA0053
14,GBAA0177
14,GBAA0180
14,GBAA0613
14,GBAA0698
14,GBAA0720
14,GBAA0863
14,GBAA1050
14,GBAA1152
14,GBAA1435
14,GBAA1487
14,GBAA1542
14,GBAA1583
14,GBAA1720
14,GBAA1831
14,GBAA2074
14,GBAA2075
14,GBAA2306
14,GBAA2307
14,GBAA2308
14,GBAA2309
14,GBAA2364
14,GBAA2435
14,GBAA2437
14,GBAA2628
14,GBAA2635
14,GBAA2636
14,GBAA2679
14,GBAA2741
14,GBAA2851
14,GBAA2926
14,GBAA2927
14,GBAA2928
14,GBAA2934
14,GBAA3043
14,GBAA3044
14,GBAA3046
14,GBAA3047
14,GBAA3048
14,GBAA3208
14,GBAA3209
14,GBAA3319
14,GBAA3386
14,GBAA3396
14,GBAA3567
14,GBAA3613
14,GBAA3698
14,GBAA3740
14,GBAA3741
14,GBAA3845
14,GBAA3874
14,GBAA3912
14,GBAA3922
14,GBAA3923
14,GBAA3966
14,GBAA3967
14,GBAA3968
14,GBAA3969
14,GBAA4136
14,GBAA4137
14,GBAA4259
14,GBAA4324
14,GBAA4446
14,GBAA4828
14,GBAA5058
14,GBAA5066
14,GBAA5334
14,GBAA5424
14,GBAA5494
15,GBAA0027
15,GBAA0050
15,GBAA0067
15,GBAA0081
15,GBAA0082
15,GBAA0083
15,GBAA0084
15,GBAA0396
15,GBAA0407
15,GBAA0738
15,GBAA0758
15,GBAA1130
15,GBAA1519
15,GBAA2038
15,GBAA2102
15,GBAA2232
15,GBAA2233
15,GBAA2357
15,GBAA2865
15,GBAA3106
15,GBAA3411
15,GBAA3562
15,GBAA3563
15,GBAA3805
15,GBAA4047
15,GBAA4158
15,GBAA4527
15,GBAA4704
15,GBAA4796
15,GBAA4919
15,GBAA5544
15,GBAA5545
15,GBAA5691
16,GBAA0028
16,GBAA0032
16,GBAA0037
16,GBAA0155
16,GBAA0156
16,GBAA0259
16,GBAA0320
16,GBAA0536
16,GBAA0602
16,GBAA0694
16,GBAA0696
16,GBAA0908
16,GBAA1049
16,GBAA1070
16,GBAA1088
16,GBAA1296
16,GBAA1486
16,GBAA1504
16,GBAA1525
16,GBAA1534
16,GBAA1535
16,GBAA1549
16,GBAA1554
16,GBAA1555
16,GBAA1556
16,GBAA2103
16,GBAA2165
16,GBAA2236
16,GBAA2310
16,GBAA2876
16,GBAA2925
16,GBAA3148
16,GBAA3232
16,GBAA3289
16,GBAA3290
16,GBAA3438
16,GBAA3672
16,GBAA3843
16,GBAA3876
16,GBAA3947
16,GBAA3958
16,GBAA3959
16,GBAA3960
16,GBAA3977
16,GBAA3987
16,GBAA3989
16,GBAA3995
16,GBAA4009
16,GBAA4010
16,GBAA4139
16,GBAA4140
16,GBAA4189
16,GBAA4192
16,GBAA4474
16,GBAA4475
16,GBAA4528
16,GBAA4555
16,GBAA4556
16,GBAA4557
16,GBAA4633
16,GBAA4649
16,GBAA4650
16,GBAA4651
16,GBAA4695
16,GBAA4713
16,GBAA4714
16,GBAA4715
16,GBAA4797
16,GBAA4981
16,GBAA5234
16,GBAA5330
16,GBAA5396
16,GBAA5554
16,GBAA5555
16,GBAA5557
16,GBAA5580
16,GBAA5644
16,GBAA5648
16,GBAA5649
16,GBAA5650
16,GBAA5681
17,GBAA0031
17,GBAA0033
17,GBAA0044
17,GBAA0054
17,GBAA0055
17,GBAA0056
17,GBAA0076
17,GBAA0096
17,GBAA0097
17,GBAA0098
17,GBAA0101
17,GBAA0102
17,GBAA0103
17,GBAA0106
17,GBAA0107
17,GBAA0290
17,GBAA0306
17,GBAA0695
17,GBAA0820
17,GBAA0866
17,GBAA1048
17,GBAA1212
17,GBAA1367
17,GBAA1368
17,GBAA1402
